title,state_name,ideology,year,city,lat,lon
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Memphis,35.1047,-89.9773
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Mooresburg,36.3531,-83.2362
Ku Klos Knights of the KKK,Indiana,Ku Klux Klan,2015,Muncie,40.1989,-85.395
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Nashville,36.1714,-86.7844
Ku Klos Knights of the KKK,Pennsylvania,Ku Klux Klan,2015,Oil City,41.4282,-79.7035
Ku Klos Knights of the KKK,Tennessee,Ku Klux Klan,2015,Paris,36.2934,-88.3065
Ku Klos Knights of the KKK,New York,Ku Klux Klan,2015,Plattsburgh,44.6951,-73.4563
Ku Klos Knights of the KKK,Missouri,Ku Klux Klan,2015,Springfield,37.1943,-93.2915
Ku Klos Knights of the KKK,Oklahoma,Ku Klux Klan,2015,Tulsa,36.1284,-95.9042
Ku Klos Knights of the KKK,Alabama,Ku Klux Klan,2015,Vance,33.1746,-87.2313
Ku Klos Knights of the KKK,Ohio,Ku Klux Klan,2015,Wheelersburg,38.7383,-82.8421
Ku Klos Knights of the KKK,California,Ku Klux Klan,2015,Willits,39.4048,-123.3494
Ku Klos Knights of the KKK,Pennsylvania,Ku Klux Klan,2015,Wormleysburg,40.2606,-76.9097
League of the South,South Carolina,Neo-Confederate,2015,Aiken,33.5303,-81.727
League of the South,Mississippi,Neo-Confederate,2015,Collinsville,32.4912,-88.8452
League of the South,Kentucky,Neo-Confederate,2015,Crofton,37.0477,-87.4842
League of the South,Arkansas,Neo-Confederate,2015,Harrison,36.2437,-93.1197
League of the South,Florida,Neo-Confederate,2015,Jacksonville,30.3322,-81.6749
League of the South,Alabama,Neo-Confederate,2015,Killen,34.8607,-87.5269
League of the South,Texas,Neo-Confederate,2015,La Porte,29.669,-95.0483
League of the South,Tennessee,Neo-Confederate,2015,Lobelville,35.7507,-87.7958
League of the South,Louisiana,Neo-Confederate,2015,Logansport,31.9755,-93.9934
